CCCCCCOCC(O)C(O)C(O)CO,3.973127854,CCCCCCOCCOCOCOCO,16
CCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.643452676,CCCCCCCCCOOCCOCOCOCO,20
CCCCCCCCCOCC(O)C(O)C(O)CO,3.322219295,CCCCCCCCCOCCOCOCOCO,19
CCCCCCCC(=O)OCC(O)C(O)C(O)CO,4.255272505,CCCCCCCCOOCCOCOCOCO,19
CCCCCCCCOCC(O)C(O)C(O)CO,3.826074803,CCCCCCCCOCCOCOCOCO,18
CCCCC(=O)OCC(O)C(O)C(O)CO,5.079181246,CCCCCOOCCOCOCOCO,16
CCCCCOCC(O)C(O)C(O)CO,4.579783597,CCCCCOCCOCOCOCO,15
CCCCSCC(O)C(O)C(O)CO,5.255272505,CCCCSCCOCOCOCO,14
CCCCCSCC(O)C(O)C(O)CO,4.662757832,CCCCCSCCOCOCOCO,15
CCCCCC(CCCC)OC1OC(CO)C(O)C(O)C1O,4.176091259,CCCCCCCCCCOCOCCOCOCOCO,22
CCCCCCCC(CC)OC1OC(CO)C(O)C(O)C1O,3.929418926,CCCCCCCCCCOCOCCOCOCOCO,22
CCCCCCCCC(C)OC1OC(CO)C(O)C(O)C1O,3.653212514,CCCCCCCCCCOCOCCOCOCOCO,22
CCCCCCC(CCC)OC1OC(CO)C(O)C(O)C1O,4.079181246,CCCCCCCCCCOCOCCOCOCOCO,22
CCCCCCCCCCCC(=O)OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.51851394,CCCCCCCCCCCCOOCCOCOCCCOOCOCOCOCOCOCO,36
CCCCCCCC(CCCCCC)SCCC(=O)OCC1(O)C(O)C(O)C(O)C1O,0.799340549,CCCCCCCCCCCCCCSCCCOOCCOCOCOCOCO,31
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,3.826074803,CCCCCCCCCCONCCCOCOCOCOCO,24
CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,4.322219295,CCCCCCCCCONCCCOCOCOCOCO,23
CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,4.838849091,CCCCCCCCONCCCOCOCOCOCO,22
CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,2.977723605,CCCCCCCCCCCCOOCCOCOCCOCOCCOOCCOCOCOCOCOCOCOCOCO,47
CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,3.361727836,CCCCCCCCCCCCOOCCOCOCCOCOCCOCOCCOOCCOCOCOCOCOCOCOCOCOCOCOCO,58
CCCCCCCCCCCC(=O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,2.662757832,CCCCCCCCCCCCOOCCOCOCCOOCCOCOCOCOCOCO,36
CCCCCCCCCCSCC(O)C(O)C(O)CO,2.602059991,CCCCCCCCCCSCCOCOCOCO,20
CCCCCCCCCCSC1OC(=O)C(O)C1O,1.51851394,CCCCCCCCCCSCOCOCOCO,19
CCCCCCSCC(O)C(O)C(O)CO,4.079181246,CCCCCCSCCOCOCOCO,16
CCCCCCSC1OC(=O)C(O)C1O,3.826074803,CCCCCCSCOCOCOCO,15
CCCCCCCCSCC(O)C(O)C(O)CO,3.079181246,CCCCCCCCSCCOCOCOCO,18
CCCCCCCCSC1OC(=O)C(O)C1O,2.681241237,CCCCCCCCSCOCOCOCO,17
CCCCCCCC(=O)NC1C(O)OC(CO)C(O)C1O,4.653212514,CCCCCCCCONCCOOCCOCOCO,21
CCCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O,4.84509804,CCCCCCCCONCOCCOCOCOCO,21
CC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,3.602059991,CCCCCCCCCCOCOCCOCOCOCO,22
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.72427587,CCCCCCCCCCOCOCCOCOCOCCOCOCOCOCOCO,33
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,3.698970004,CCCCCCCCCCOCOCCOCOCOCCOCOCOCCOCOCOCOCOCOCOCO,44
CCCCCCCCCOC1OC(CO)C(O)C(O)C1N,3.84509804,CCCCCCCCCOCOCCOCOCOCN,21
CCCCCCCCOC1OC(CO)C(O)C(O)C1N,4.361727836,CCCCCCCCOCOCCOCOCOCN,20
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,3.113943352,CCCCCCCCCCNCCOCOCOCOCOCO,24
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.361727836,CCCCCCCCCCNCCOCOCOCOCOCCOCOCOCOCOCO,35
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,2.146128036,CCCCCCCCCCCCNCCOCOCOCOCOCO,26
